% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1457 0 +5.226139180e+02 +6.002739180e+02 +6.002739180e+02
1489 0 +5.122657220e+02 +5.899257220e+02 +5.899257220e+02
1521 0 +4.987886288e+02 +5.764486288e+02 +5.764486288e+02
1537 0 +4.896193741e+02 +5.672793741e+02 +5.672793741e+02
1553 0 +4.757981487e+02 +5.534581487e+02 +5.534581487e+02
1569 0 +4.669916963e+02 +5.446516963e+02 +5.446516963e+02
1601 0 +4.499384227e+02 +5.275984227e+02 +5.275984227e+02
1649 0 +4.450880060e+02 +5.227480060e+02 +5.227480060e+02
1665 0 +4.325860972e+02 +5.102460972e+02 +5.102460972e+02
1681 0 +4.251015101e+02 +5.027615101e+02 +5.027615101e+02
1729 0 +4.139278064e+02 +4.915878064e+02 +4.915878064e+02
1969 0 +4.054076001e+02 +4.830676001e+02 +4.830676001e+02
2033 0 +3.966147212e+02 +4.742747212e+02 +4.742747212e+02
2321 0 +3.885681338e+02 +4.662281338e+02 +4.662281338e+02
2721 0 +3.799374426e+02 +4.575974426e+02 +4.575974426e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.156800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.909104352e+03 +2.024784352e+03 +2.024784352e+03
9 0 +1.696234306e+03 +1.811914306e+03 +1.811914306e+03
23 0 +1.611755909e+03 +1.727435909e+03 +1.727435909e+03
51 0 +1.576465516e+03 +1.692145516e+03 +1.692145516e+03
53 0 +1.447340630e+03 +1.563020630e+03 +1.563020630e+03
71 0 +1.424536690e+03 +1.540216690e+03 +1.540216690e+03
89 0 +1.390465468e+03 +1.506145468e+03 +1.506145468e+03
122 0 +1.339769580e+03 +1.455449580e+03 +1.455449580e+03
131 0 +1.229756810e+03 +1.345436810e+03 +1.345436810e+03
166 0 +1.195334028e+03 +1.311014028e+03 +1.311014028e+03
170 0 +1.106071004e+03 +1.221751004e+03 +1.221751004e+03
214 0 +1.075286019e+03 +1.190966019e+03 +1.190966019e+03
233 0 +1.059349607e+03 +1.175029607e+03 +1.175029607e+03
251 0 +1.046101464e+03 +1.161781464e+03 +1.161781464e+03
255 0 +9.677567271e+02 +1.083436727e+03 +1.083436727e+03
263 0 +9.202092216e+02 +1.035889222e+03 +1.035889222e+03
307 0 +8.542503237e+02 +9.699303237e+02 +9.699303237e+02
