% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.992761284e+02 +3.900661284e+02 +3.900661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +3.984013619e+02 +3.891913619e+02 +3.891913619e+02 +2.1661e-01 -2.7248e-01 -1.4933e-01 +1.8171e-01 -5.0930e-01 +2.3317e-01 -2.5183e-01 -1.2653e-01 +4.3300e-01 -1.9345e-02 -9.0564e-02 +8.4424e-02 -2.8183e-02 -1.8777e-01 +7.4957e-02 +6.4105e-01 +2.7589e-01 +1.3137e-01 +7.7185e-02 +2.3934e-01
7 0 +3.971894543e+02 +3.879794543e+02 +3.879794543e+02 +3.9600e-02 -1.5826e-02 +3.8876e-01 +1.0226e-01 -3.6278e-01 -3.7948e-01 -2.7683e-01 -5.9853e-01 -6.2392e-01 +6.1947e-01 -2.4071e-01 +3.7858e-01 -2.1446e-01 -1.1622e-01 -4.9739e-01 +3.7276e-01 -1.1238e-01 +4.9169e-01 -2.0301e-01 +3.8019e-01
13 0 +3.852087631e+02 +3.759987631e+02 +3.759987631e+02 +1.3358e-01 +2.8428e-01 -1.5901e-01 -4.0668e-01 +6.7363e-02 +2.8476e-01 +2.1624e-01 +2.3025e-01 +6.3000e-02 +2.1096e-01 -2.5280e-01 -4.8156e-02 -4.7272e-01 -2.1503e-02 -9.8495e-02 +1.0690e-02 +3.0794e-01 +1.3638e-02 -8.7786e-01 +4.0643e-01
57 0 +3.790768504e+02 +3.698668504e+02 +3.698668504e+02 +1.1307e-01 +2.5249e-01 -8.0076e-02 -2.6583e-01 -4.0350e-01 +2.3102e-01 +1.7128e-02 +2.0716e-02 +2.6937e-02 +5.4591e-01 -3.2314e-01 +5.9294e-01 +2.2354e-01 +4.9592e-01 -4.3333e-01 +1.8312e-01 +6.5028e-02 +8.7928e-01 +3.6363e-02 +1.0220e+00
82 0 +3.649089753e+02 +3.556989753e+02 +3.556989753e+02 +3.4644e-01 -1.1234e-01 +3.1117e-01 -1.3010e-01 -1.1818e-01 +2.3108e-01 -4.5771e-01 +1.4090e-01 -4.2845e-01 +8.1181e-01 -3.5203e-01 -1.9070e-01 +6.8826e-01 +5.4878e-01 -4.4345e-01 +8.8662e-02 +5.2178e-01 +1.2959e+00 -1.0279e-01 +1.3401e+00
97 0 +3.624248306e+02 +3.532148306e+02 +3.532148306e+02 +7.9872e-01 +3.8361e-01 -3.9578e-01 +3.8210e-01 +4.8317e-02 +2.1424e-01 -1.1489e-01 -2.6826e-01 -1.5492e-02 +9.3465e-01 -9.4754e-01 -1.5642e-01 +2.9832e-01 +6.1694e-01 -7.4156e-01 -1.1443e-01 +3.2707e-01 +8.3190e-01 -3.6849e-01 +1.4094e+00
126 0 +3.502759378e+02 +3.410659378e+02 +3.410659378e+02 +8.2671e-01 +1.3416e-01 -4.0568e-01 +1.2094e-02 -1.8487e-01 -7.7191e-02 -3.9943e-02 +2.8459e-01 -5.2708e-02 +5.0417e-01 -7.6755e-01 -1.2452e-01 -2.2993e-01 +9.0114e-01 -9.6806e-01 -2.9260e-01 +1.1631e+00 +1.0949e+00 +1.0858e-01 +2.0199e+00
155 0 +3.420776404e+02 +3.328676404e+02 +3.328676404e+02 +1.2371e-02 -1.5978e-01 -4.1225e-01 -2.8420e-01 +2.2146e-02 +1.8524e-01 +3.2387e-01 +5.2767e-02 +1.0625e-01 +6.2212e-01 -1.0396e+00 -2.5828e-01 -9.7652e-02 +1.3348e+00 -7.8797e-01 -2.6123e-01 +1.4419e+00 +1.4358e+00 -2.5492e-01 +1.8812e+00
162 0 +3.374577398e+02 +3.282477398e+02 +3.282477398e+02 +2.8323e-01 +4.6355e-01 -5.3670e-01 -5.6279e-01 -7.0250e-01 +1.4422e-01 -4.6972e-02 -5.0592e-01 -3.1265e-02 +2.3022e-01 -4.3806e-01 +1.7867e-01 +4.1505e-02 +1.2877e+00 -1.4575e+00 -1.0098e+00 +1.4846e+00 +7.7960e-01 -4.0312e-01 +2.1771e+00
185 0 +3.191799427e+02 +3.099699427e+02 +3.099699427e+02 +1.1365e+00 -9.0656e-02 -6.8380e-01 -1.7473e-01 +4.2241e-01 -4.0561e-02 -2.7732e-01 -6.0331e-01 -3.9500e-02 +1.0156e+00 -1.5954e+00 -3.3331e-01 +5.8134e-02 +1.2283e+00 -1.4972e+00 -5.1969e-01 +2.2091e+00 +2.2137e+00 -6.4326e-01 +2.3449e+00
198 0 +3.155853386e+02 +3.063753386e+02 +3.063753386e+02 +2.9662e-01 +2.2414e-01 -1.4033e+00 -4.5060e-01 -6.2861e-01 +3.2790e-01 +6.7208e-02 -7.4043e-01 +3.2789e-01 +1.1877e+00 -7.3565e-01 -3.6192e-01 +2.9880e-01 +1.4536e+00 -9.7143e-01 -2.2422e-01 +2.7066e+00 +1.6950e+00 -8.5306e-01 +2.9712e+00
